event,seq,utc,detail
ACK,3943,2026-09-26T17:10:28.542Z,
ACK,3944,2026-09-26T17:10:28.638Z,
ACK,3945,2026-09-26T17:10:28.733Z,
ACK,3946,2026-09-26T17:10:28.841Z,
ACK,3947,2026-09-26T17:10:28.934Z,
ACK,3948,2026-09-26T17:10:29.038Z,
ACK,3949,2026-09-26T17:10:29.139Z,
ACK,3950,2026-09-26T17:10:29.237Z,
ACK,3951,2026-09-26T17:10:29.352Z,
ACK,3952,2026-09-26T17:10:29.438Z,
ACK,3953,2026-09-26T17:10:29.541Z,
ACK,3954,2026-09-26T17:10:29.639Z,
ACK,3955,2026-09-26T17:10:29.740Z,
ACK,3956,2026-09-26T17:10:29.841Z,
ACK,3957,2026-09-26T17:10:29.942Z,
ACK,3958,2026-09-26T17:10:30.050Z,
ACK,3959,2026-09-26T17:10:30.143Z,
ACK,3960,2026-09-26T17:10:30.242Z,
ACK,3961,2026-09-26T17:10:30.338Z,
ACK,3962,2026-09-26T17:10:30.446Z,
ACK,3963,2026-09-26T17:10:30.546Z,
ACK,3964,2026-09-26T17:10:30.643Z,
ACK,3965,2026-09-26T17:10:30.755Z,
ACK,3966,2026-09-26T17:10:30.918Z,
ACK,3967,2026-09-26T17:10:30.990Z,
ACK,3968,2026-09-26T17:10:31.087Z,
ACK,3969,2026-09-26T17:10:31.177Z,
ACK,3970,2026-09-26T17:10:31.293Z,
ACK,3971,2026-09-26T17:10:31.388Z,
ACK,3972,2026-09-26T17:10:31.490Z,
ACK,3973,2026-09-26T17:10:31.577Z,
ACK,3974,2026-09-26T17:10:31.683Z,
ACK,3975,2026-09-26T17:10:31.776Z,
ACK,3976,2026-09-26T17:10:31.885Z,
ACK,3977,2026-09-26T17:10:31.983Z,
ACK,3978,2026-09-26T17:10:32.081Z,
ACK,3979,2026-09-26T17:10:32.189Z,
ACK,3980,2026-09-26T17:10:32.299Z,
ACK,3981,2026-09-26T17:10:32.419Z,
ACK,3982,2026-09-26T17:10:32.519Z,
ACK,3983,2026-09-26T17:10:32.582Z,
ACK,3984,2026-09-26T17:10:32.686Z,
ACK,3985,2026-09-26T17:10:32.783Z,
ACK,3986,2026-09-26T17:10:32.931Z,
ACK,3987,2026-09-26T17:10:32.996Z,
ACK,3988,2026-09-26T17:10:33.115Z,
ACK,3989,2026-09-26T17:10:33.196Z,
ACK,3990,2026-09-26T17:10:33.296Z,
ACK,3991,2026-09-26T17:10:33.396Z,
ACK,3992,2026-09-26T17:10:33.497Z,
ACK,3993,2026-09-26T17:10:33.596Z,
ACK,3994,2026-09-26T17:10:33.697Z,
ACK,3995,2026-09-26T17:10:33.817Z,
ACK,3996,2026-09-26T17:10:33.898Z,
ACK,3997,2026-09-26T17:10:33.998Z,
ACK,3998,2026-09-26T17:10:34.125Z,
ACK,3999,2026-09-26T17:10:34.205Z,
ACK,4000,2026-09-26T17:10:34.306Z,
ACK,4001,2026-09-26T17:10:34.503Z,
ACK,4002,2026-09-26T17:10:34.572Z,
